id,title,all_artists,genre,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
0,Hooked on a Feeling,"['Blue Swede', 'Björn Skifs']",classic swedish pop,1973,FALSE,74,0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4,Happy
1,Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",dance pop,2014,FALSE,24,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71E-05,0.0233,0.93,114.989,4,Happy
2,Twist And Shout - Remastered,['The Beatles'],beatlesque,1963,FALSE,0,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,4,Happy
3,A-Punk,['Vampire Weekend'],baroque pop,2008,FALSE,3,0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,4,Happy
4,Watermelon Sugar,['Harry Styles'],pop,2019,FALSE,89,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,Happy
5,Don't Stop Me Now,['Queen'],classic rock,1978,FALSE,0,0.566,0.876,0,-4.6,1,0.187,0.0175,0.0114,0.677,0.642,156.291,4,Happy
6,Sunday Best,['Surfaces'],bedroom soul,2019,FALSE,79,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4,Happy
7,Video Killed The Radio Star,['The Buggles'],early synthpop,2010,FALSE,0,0.679,0.79,1,-6.934,1,0.059,0.139,0.00669,0.165,0.369,131.177,4,Happy
8,Hey Ya!,['Outkast'],atl hip hop,2003,FALSE,63,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,4,Happy
9,Can I Get It,['Adele'],british soul,2021,FALSE,83,0.703,0.68,9,-6.118,0,0.0431,0.0171,0,0.178,0.536,97.985,4,Happy
10,Treasure,['Bruno Mars'],dance pop,2012,TRUE,78,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24E-05,0.324,0.937,116.017,4,Happy
11,Wake Me Up Before You Go-Go,['Wham!'],disco,2010,FALSE,55,0.586,0.651,0,-10.16,1,0.048,0.144,0,0.489,0.901,81.397,4,Happy
12,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",dance pop,2021,TRUE,86,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92E-05,0.12,0.781,110.97,4,Happy
13,Celebration - Single Version,['Kool & The Gang'],disco,1980,FALSE,0,0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112,4,Happy
14,Come,['Jain'],french indie pop,2016,FALSE,61,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,0.819,99.992,4,Happy
15,Mr. Brightside,['The Killers'],alternative rock,2004,FALSE,0,0.351,0.928,1,-3.71,1,0.0759,0.00113,0,0.0988,0.239,148.03,4,Happy
17,Lush Life,['Zara Larsson'],dance pop,2017,FALSE,77,0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4,Happy
18,Walking On Sunshine,['Katrina & The Waves'],new wave pop,1985,FALSE,77,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,Happy
20,Country House,['Blur'],alternative rock,2000,FALSE,54,0.341,0.894,9,-6.66,1,0.0765,0.147,0,0.0741,0.672,174.982,4,Happy
