index,title,artist,release_date,genre,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion,features
0,Hooked on a Feeling,Blue Swede,1973,classic swedish pop,0,74,0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4,Happy,6
0,Hooked on a Feeling,Björn Skifs,1973,classic swedish pop,0,74,0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4,Happy,6
1,Uptown Funk (feat. Bruno Mars),Mark Ronson,2014,dance pop,0,24,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71E-05,0.0233,0.93,114.989,4,Happy,5
1,Uptown Funk (feat. Bruno Mars),Bruno Mars,2014,dance pop,0,24,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71E-05,0.0233,0.93,114.989,4,Happy,5
2,Twist And Shout - Remastered,The Beatles,1963,beatlesque,0,0,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74E-06,0.0414,0.937,124.631,4,Happy,1
3,A-Punk,Vampire Weekend,2008,baroque pop,0,3,0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,4,Happy,1
4,Watermelon Sugar,Harry Styles,2019,pop,0,89,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,Happy,5
5,Don't Stop Me Now,Queen,1978,classic rock,0,0,0.566,0.876,0,-4.6,1,0.187,0.0175,0.0114,0.677,0.642,156.291,4,Happy,1
6,Sunday Best,Surfaces,2019,bedroom soul,0,79,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4,Happy,6
7,Video Killed The Radio Star,The Buggles,2010,early synthpop,0,0,0.679,0.79,1,-6.934,1,0.059,0.139,0.00669,0.165,0.369,131.177,4,Happy,1
8,Hey Ya!,Outkast,2003,atl hip hop,0,63,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,4,Happy,5
9,Can I Get It,Adele,2021,british soul,0,83,0.703,0.68,9,-6.118,0,0.0431,0.0171,0,0.178,0.536,97.985,4,Happy,2
10,Treasure,Bruno Mars,2012,dance pop,1,78,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24E-05,0.324,0.937,116.017,4,Happy,0
11,Wake Me Up Before You Go-Go,Wham!,2010,disco,0,55,0.586,0.651,0,-10.16,1,0.048,0.144,0,0.489,0.901,81.397,4,Happy,5
12,Kiss Me More (feat. SZA),Doja Cat,2021,dance pop,1,86,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92E-05,0.12,0.781,110.97,4,Happy,4
12,Kiss Me More (feat. SZA),SZA,2021,dance pop,1,86,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92E-05,0.12,0.781,110.97,4,Happy,4
13,Celebration - Single Version,Kool & The Gang,1980,disco,0,0,0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112,4,Happy,1
14,Come,Jain,2016,french indie pop,0,61,0.818,0.783,1,-6.534,1,0.0444,0.232,0.00886,0.0803,0.819,99.992,4,Happy,5
15,Mr. Brightside,The Killers,2004,alternative rock,0,0,0.351,0.928,1,-3.71,1,0.0759,0.00113,0,0.0988,0.239,148.03,4,Happy,1
16,Lush Life,Zara Larsson,2017,dance pop,0,77,0.694,0.712,7,-3.923,0,0.046,0.132,0,0.211,0.799,98.023,4,Happy,2
17,Walking On Sunshine,Katrina & The Waves,1985,new wave pop,0,77,0.596,0.869,10,-11.97,1,0.037,0.0116,0.173,0.0678,0.944,109.902,4,Happy,6
18,Country House,Blur,2000,alternative rock,0,54,0.341,0.894,9,-6.66,1,0.0765,0.147,0,0.0741,0.672,174.982,4,Happy,6
19,Skate,Bruno Mars,2021,dance pop,0,80,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4,Happy,6
19,Skate,Anderson .Paak,2021,dance pop,0,80,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4,Happy,6
19,Skate,Silk Sonic,2021,dance pop,0,80,0.708,0.598,5,-8.365,1,0.0291,0.037,0,0.17,0.698,112.027,4,Happy,6
20,I Got You (I Feel Good),James Brown,2010,funk,0,2,0.598,0.531,7,-7.484,1,0.0954,0.331,1.51E-06,0.0938,0.696,70.469,3,Happy,1
21,Don't Start Now,Dua Lipa,2020,dance pop,0,82,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,4,Happy,2
22,A-O-K,Tai Verdes,2021,modern indie pop,1,77,0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,4,Happy,4
23,Don't Worry Be Happy,Bobby McFerrin,1997,a cappella,0,67,0.681,0.163,11,-22.597,1,0.165,0.881,7.62E-05,0.0688,0.771,69.283,4,Happy,3
24,3 Nights,Dominic Fike,2018,alternative pop rock,0,68,0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4,Happy,2
