title,all_artists,release_date,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,emotion
Hooked on a Feeling,"['Blue Swede', 'Björn Skifs']",1973,False,74,0.547,0.82,8,-6.728,1,0.0805,0.261,0,0.3,0.933,118.208,4,Happy
Uptown Funk (feat. Bruno Mars),"['Mark Ronson', 'Bruno Mars']",2014,False,24,0.853,0.681,0,-5.003,1,0.0888,0.00966,5.71e-05,0.0233,0.93,114.989,4,Happy
Twist And Shout - Remastered,['The Beatles'],1963,False,0,0.482,0.849,2,-9.198,1,0.0452,0.641,7.74e-06,0.0414,0.937,124.631,4,Happy
A-Punk,['Vampire Weekend'],2008,False,3,0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,4,Happy
Watermelon Sugar,['Harry Styles'],2019,False,89,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4,Happy
Don't Stop Me Now,['Queen'],1978,False,0,0.566,0.876,0,-4.6,1,0.187,0.0175,0.0114,0.677,0.642,156.291,4,Happy
Sunday Best,['Surfaces'],2019,False,79,0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4,Happy
Video Killed The Radio Star,['The Buggles'],2010,False,0,0.679,0.79,1,-6.934,1,0.059,0.139,0.00669,0.165,0.369,131.177,4,Happy
Hey Ya!,['Outkast'],2003,False,63,0.715,0.97,0,-2.206,1,0.0648,0.0644,0.000156,0.205,0.963,79.504,4,Happy
Can I Get It,['Adele'],2021,False,81,0.703,0.68,9,-6.118,0,0.0431,0.0171,0,0.178,0.536,97.985,4,Happy
Treasure,['Bruno Mars'],2012,True,78,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,4,Happy
Wake Me Up Before You Go-Go,['Wham!'],2010,False,54,0.586,0.651,0,-10.16,1,0.048,0.144,0,0.489,0.901,81.397,4,Happy
Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",2021,True,86,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,4,Happy
Celebration - Single Version,['Kool & The Gang'],1980,False,0,0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112,4,Happy
